,Activity
BR:MCF7,5.4
BR:MDA-MB-231,7.19
BR:HS 578T,5.36
BR:BT-549,5.31
BR:T-47D,5.01
CNS:SF-268,5.39
CNS:SF-295,4.88
CNS:SF-539,5.56
CNS:SNB-19,5.08
CNS:SNB-75,5.76
CNS:U251,6.18
CO:COLO 205,8
CO:HCC-2998,7.65
CO:HCT-116,7.06
CO:HCT-15,5.94
CO:HT29,8
CO:KM12,6.85
CO:SW-620,7.34
LE:CCRF-CEM,5.08
LE:HL-60(TB),7.53
LE:K-562,6.13
LE:MOLT-4,5.32
LE:RPMI-8226,5.28
LE:SR,5.76
ME:LOX IMVI,7.54
ME:MALME-3M,8
ME:M14,8
ME:SK-MEL-2,7.77
ME:SK-MEL-28,8
ME:SK-MEL-5,7.08
ME:UACC-257,8
ME:UACC-62,8
ME:MDA-MB-435,8
ME:MDA-N,NA
LC:A549/ATCC,6.37
LC:EKVX,NA
LC:HOP-62,7.34
LC:HOP-92,7.68
LC:NCI-H226,5.49
LC:NCI-H23,6.72
LC:NCI-H322M,6.87
LC:NCI-H460,5.62
LC:NCI-H522,4.92
OV:IGROV1,6.67
OV:OVCAR-3,5.08
OV:OVCAR-4,6.42
OV:OVCAR-5,7.11
OV:OVCAR-8,4.99
OV:SK-OV-3,5.23
OV:NCI/ADR-RES,5.07
PR:PC-3,5.23
PR:DU-145,5.43
RE:786-0,5.39
RE:A498,7.43
RE:ACHN,6.2
RE:CAKI-1,5.39
RE:RXF 393,6.19
RE:SN12C,5.4
RE:TK-10,6.4
RE:UO-31,6.48